athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Ferry Weertman,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6761.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6762.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6762.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6763.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6763.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6764.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6766.8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6767.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6768.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6787.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6787.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6787.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Johansson,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6788.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6788.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6790.1,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Herwig,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6790.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6790.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6791.3,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6792.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6793.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubin Coccordano,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6794.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6794.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6795.3,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6796.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6798.7,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6800.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6800.4,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6803.7,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6804.3,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Batte,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6805.8,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Vandevelde,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6805.8,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roldan Munoz,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6806.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Signorini,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6807.8,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6808.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Hughes,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6813.3,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6813.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaspar Andrade Budino,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6814.1,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Baptiste Clusman,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6917.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiki Nonaka,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6918.9,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naim Mokhfi,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6921.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6924.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Saillard,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6925.6,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arti Krasniqi,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6926.8,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaito Watanuki,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6928.4,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptiste Colmant,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6929.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Sodemann,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6929.3,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6929.7,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Kukla,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6931.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Brandl,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6931.2,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Liu,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6949.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taishin Minamide,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6967.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Le Corre,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6968.1,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimitrios Negris,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6978.3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6988.1,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6995.6,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Zitouni,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,6998.3,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Jedel,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7001.6,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7067.1,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7104.3,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Hedlin,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7108.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lijun Zu,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7114.8,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yosuke Aoki,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7123.8,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Farinango,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7137.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin Debril,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7149.7,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7441.1,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiman Al Qasmi,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7694.3,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Ouabdesselam,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,7789.2,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelrahman Mohamed,,03/17/2018,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,70.0,8561.2,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
