athlete_name,country,date,event,location,distance,current_type,temp,condition,field_size,time,place
Kirill Abrosimov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3274.3,1
Federico Vanelli,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3294.4,2
Caleb Hughes,GBR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3306.1,3
Rob Muffels,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3311.3,4
Ferry Weertman,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3314.8,5
Mario Sanzullo,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3322.2,6
Daniel Szekelyi,HUN,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3346.8,7
Soeren Meissner,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3352.1,8
Simone Ruffini,ITA,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3356.8,9
Marcus Herwig,GER,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3358.9,10
Aleksandr Astapov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3385.5,11
Sergey Bolshakov,RUS,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3387.3,12
Patrik Rakos,HUN,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3388.8,13
Marcel Schouten,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3407.2,14
Pepijn Smits,NED,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3421.2,15
Pol Gil,ESP,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3424.9,16
Matthias Schweinzer,AUT,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3429.7,17
Jay Lelliott,GBR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3466.1,18
Rafael Gil,POR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3494.4,19
Tamas Farkas,SRB,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3497.8,20
Christopher Bryan,IRL,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3499.3,21
Jakub Tobias,CZE,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3561,22
Jan Kutniik,CZE,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3578.5,23
Mario Bonanca,POR,07/12/2016,European Championships,"Hoorn, NED",5,No Current,Neutral,Neutral,24,3657.007872,24
end,,,2016_07_12_Hoorn_5km_M,,,,,,,,0
Ferry Weertman,NED,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6920.005824,1
Jack Burnell,GBR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6921.002016,2
Marc Antoine Olivier,FRA,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6921.006336,3
Federico Vanelli,ITA,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6924.002688,4
Spyridon Gianniotis,GRE,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6924.999744,5
Caleb Hughes,GBR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6924.999744,6
Simone Ruffini,ITA,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6925.004064,7
Anton Evsikov,RUS,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6925.008384,8
Marcel Schouten,NED,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6925.008384,9
Mark Papp,HUN,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6927.00336,10
Matteo Furlan,ITA,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6927.005088,11
Rob Muffels,GER,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6928.003008,12
Daniel Szekelyi,HUN,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6928.0056,13
Kirill Abrosimov,RUS,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6929.006112,14
Sergey Bolshakov,RUS,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6929.006976,15
Pepijn Smits,NED,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6929.00784,16
Andreas Waschburger,GER,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6932.004192,17
Christopher Bryan,IRL,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6934.000896,18
Yuval Safra,ISR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6938.007264,19
Rafael Gil,POR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6953.002848,20
Matej Kozubek,CZE,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6955.002144,21
Krzysztof Pielowski,POL,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6957.004032,22
Igor Chervynskiy,UKR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6959.005056,23
Davy Billiau,BEL,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6960.001248,24
Patrik Rakos,HUN,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6963.00624,25
Hugo Ribeiro,POR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,6997.00896,26
Igor Snitko,UKR,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,7041.004704,27
Felix Bartels,GER,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,7127.008128,28
Vit Ingeduld,CZE,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,7280.00784,29
Pol Gil,ESP,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,7332.009408,30
Tamas Farkas,SRB,07/10/2016,European Championships,"Hoorn, NED",10,No Current,Neutral,Neutral,34,7352.002368,31
end,,,2016_07_10_Hoorn_10km_M,,,,,,,,0
Axel Reymond,FRA,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18141.99984,1
Matteo Furlan,ITA,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18367.00531,2
Edoardo Stochino,ITA,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18559.00426,3
Yuval Safra,ISR,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18692.00928,4
Marcel Schouten,NED,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18711.99965,5
Andrea Bianchi,ITA,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18838.00886,6
Matej Kozubek,CZE,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,18859.00666,7
Acev Evgenij Pop,MKD,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,19390.00637,8
Hugo Ribeiro,POR,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,19554.0048,9
Adam Krisztian Orosz,HUN,07/14/2016,European Championships,"Hoorn, NED",25,No Current,Neutral,Neutral,13,19598.00486,10
end,,,2016_07_14_Hoorn_25km_M,,,,,,,,0
Gregorio Paltrinieri,ITA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3343.3,1
Marc-Antoine Olivier,FRA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3345.1,2
Dario Verani,ITA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3346.6,3
Kristof Rasovszky,HUN,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3347.3,4
Logan Fontaine,FRA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3347.5,5
Marcello Guidi,ITA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3347.7,6
Jules Wallart,FRA,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3349.5,7
Kirill Abrosimov,RUS,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3350.2,8
Florian Wellbrock,GER,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3350.5,9
Ruwen Straub,GER,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3351.3,10
Rob Muffels,GER,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3357.5,11
David Betlehem,HUN,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3360.4,12
Belmonte Guillem Pujol,ESP,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3415.5,13
Kirill Belyaev,RUS,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3416.3,14
Denis Adeev,RUS,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3416.9,15
Christian Schreiber,SUI,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3417.4,16
Daniel Szekelyi,HUN,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3421,17
Tamas Farkas,SRB,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3422.2,18
Logan Vanhuys,BEL,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3422.6,19
Vit Ingeduld,CZE,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3423,20
Jan Hercog,AUT,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3423.6,21
Martin Straka,CZE,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3516.8,22
Tomas Peciar,SVK,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3725.5,23
Sander Paavo,EST,05/12/2021,European Championships,"Budapest, HUN",5,No Current,Neutral,Neutral,25,3934.8,24
end,,,2021_05_12_Budapest_5km_M,,,,,,,,0
Gregorio Paltrinieri,ITA,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6690.6,1
Marc-Antoine Olivier,FRA,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6701.7,2
Florian Wellbrock,GER,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6702,3
Ferry Weertman,NED,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6703,4
Kristof Rasovszky,HUN,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6705,5
Mario Sanzullo,ITA,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6706.4,6
Axel Reymond,FRA,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6709.6,7
Hector Pardoe,GBR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6715.4,8
Domenico Acerenza,ITA,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6715.9,9
Murcia Alberto Martinez,ESP,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6716,10
Daniel Szekelyi,HUN,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6724.7,11
Oliver Klemet,GER,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6725.7,12
Rob Muffels,GER,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6726.3,13
Athanasios Cha Kynigakis,GRE,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6726.8,14
Kirill Abrosimov,RUS,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6727.9,15
Logan Vanhuys,BEL,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6738.4,16
Peter Galicz,HUN,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6743.3,17
Matan Roditi,ISR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6754.4,18
Tobias Robinson,GBR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6766.6,19
Evgenii Drattcev,RUS,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6785.3,20
Ruslan Sadykov,RUS,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6785.5,21
Lars Bottelier,NED,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6785.7,22
Matej Kozubek,CZE,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6817.9,23
Ido Gal,ISR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6842.8,24
Jan Hercog,AUT,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6843.2,25
Martin Straka,CZE,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6847.1,26
Acev Evgenij Pop,MKD,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6848.9,27
Igor Chervynskiy,UKR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6850.2,28
Vit Ingeduld,CZE,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6947.2,29
Arti Krasniqi,KOS,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6952.4,30
Yonatan Ahdut,ISR,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,6990.4,31
Tamas Farkas,SRB,05/13/2021,European Championships,"Budapest, HUN",10,No Current,Neutral,Neutral,33,7200.2,32
end,,,2021_05_13_Budapest_10km_M,,,,,,,,0
Axel Reymond,FRA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16559.8,1
Matteo Furlan,ITA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16565.1,2
Kirill Abrosimov,RUS,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16566.2,3
Alessio Occhipinti,ITA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16572,4
Lars Bottelier,NED,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16577.9,5
Simone Ruffini,ITA,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16578.1,6
Ruslan Sadykov,RUS,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16633.4,7
Peter Galicz,HUN,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16652.7,8
Acev Evgenij Pop,MKD,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16654,9
David Huszti,HUN,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16717,10
Martin Straka,CZE,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16796,11
Matej Kozubek,CZE,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,16844.9,12
Niklas Frach,GER,05/16/2021,European Championships,"Budapest, HUN",25,No Current,Neutral,Neutral,15,17203.6,13
end,,,2021_05_16_Budapest_25km_M,,,,,,,,0
