athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place,,,,
Aleksandr Astapov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6794.084736,23,,,,
Kirill Dolgov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6796.065024,24,,,,
Mikhail Lipskii,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6800.02992,25,,,,
Nikita Nekrasov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6804.059616,26,,,,
Mathieu Mattelaer,BEL,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6811.034688,27,,,,
Peter Galicz,HUN,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6814.00512,28,,,,
Vit Ingeduld,CZE,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6814.055232,29,,,,
Federico Salghetti-Drioli,SUI,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6818.000256,30,,,,
Vladislav Utrobin,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6820.0704,31,,,,
Sergei Zhevlakov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,6832.0152,32,,,,
Nikita Khotko,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7016.049792,33,,,,
Ivan Fratic,SVK,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7047.080352,34,,,,
Yonatan Sharon Rosin,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7049.025216,35,,,,
Ido Gal,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7054.030368,36,,,,
Ilia Okorokov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7134.094656,37,,,,
Idan Mordel,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7135.02,38,,,,
Clil Halevi,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,No Current,Neutral,39,7143.02496,39,,,,
end,,,2018_03_25_LEN_Eilat_10km,,,,,,,0,,,,
Florian Wellbrock,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2655,1,,,,
Ferry Weertman,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2667,2,,,,
Rob Muffels,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2667,3,,,,
Logan Fontaine,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2667.4,4,,,,
David Aubry,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2668,5,,,,
Marc-Antoine Olivier,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2668.2,6,,,,
Jack Burnell,GBR,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2668.3,7,,,,
Michael Brinegar,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2668.9,8,,,,
Axel Reymond,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2669,9,,,,
Matteo Furlan,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2669.8,10,,,,
Pasquale Sanzullo,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2671,11,,,,
Taylor Abbott,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2671.5,12,,,,
Pepijn Smits,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2672.5,13,,,,
Brendan Casey,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2672.9,14,,,,
Enzo Roldan Munoz,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2673,15,,,,
Alberto Martinez,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2674,16,,,,
Diogo Villarinho,BRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2684,17,,,,
Marcel Schouten,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2685,18,,,,
Niklas Frach,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2685.2,19,,,,
Pol Gil,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2686.2,20,,,,
Jean-Baptiste Clusman,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2688,21,,,,
Logan Vanhuys,BEL,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2688,22,,,,
Raul Santiago Betancor,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2688.1,23,,,,
Marcello Guidi,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2733.2,24,,,,
Clement Batte,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2749.4,25,,,,
Dimitrios Negris,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2752.9,26,,,,
Athanasios Kynigakis,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2753.4,27,,,,
Mark Papp,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2763.4,28,,,,
David Heron,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2764,29,,,,
Dario Verani,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2765,30,,,,
Yuval Safra,ISR,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2765,31,,,,
Rafael Gil,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2766,32,,,,
Hugo Saillard,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2766,33,,,,
Brennan Gravley,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2784,34,,,,
Guillem Pujol,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2784.6,35,,,,
Daniel Szekelyi,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2785,36,,,,
Fares Zitouni,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2788.1,37,,,,
Gaspar Andrade Budino,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2795.6,38,,,,
Zoltán Drigan,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2797.1,39,,,,
Edouard Lehoux,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2800,40,,,,
Ferran Julia Tous,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2840,41,,,,
Mathieu Mattelaer,BEL,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2849.1,42,,,,
Martinez Marcos Godoy,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2873.9,43,,,,
Planella Roger Coma,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2876,44,,,,
Naim Mokhfi,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2890.5,45,,,,
Matej Kozubek,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2892,46,,,,
Vit Ingeduld,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2892.8,47,,,,
Tiago Campos,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2893,48,,,,
Maxence Dessoit,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2895,49,,,,
Asterios Daldogiannis,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2895.5,50,,,,
Alexis Vandevelde,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2897,51,,,,
Thomas Jansen,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2901.6,52,,,,
Georgios Arniakos,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2910,53,,,,
Clement Kukla,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2962.9,54,,,,
Paul Nitschke,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,2965,55,,,,
Charley Iriart,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3001.8,56,,,,
Jose Paula Carvalho,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3005,57,,,,
Pierre Bouchon,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3009,58,,,,
Mathieu Mathy Ben Rahou,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3015,59,,,,
Julien Zinsmeister,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3062,60,,,,
David Pouliot,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3124.4,61,,,,
Fabien Schapman,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3141.6,62,,,,
Jorgos Skotadis,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3145,63,,,,
Vojislav Sterba,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3252,64,,,,
Pablo Le Corre,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3252.4,65,,,,
Eliott Prybil,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3254,66,,,,
Manuel Tome Sanles,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3304.7,67,,,,
Alexandre Verplaetse,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3315,68,,,,
Sander Crooijmans,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3329.2,69,,,,
Evgenij Pop Acev,MKD,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3338.1,70,,,,
Baptiste Decamps,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3340,71,,,,
Edouard Belanger,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3345,72,,,,
Vincent Crooijmans,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3357,73,,,,
Jean-Baptiste Antonetti,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3358,74,,,,
Guillaume Roux,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3361,75,,,,
Axel Parisot,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3422,76,,,,
Philippe Landriault,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3423,77,,,,
Benjamin Lortie,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3500,78,,,,
Lucas Bonnal,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3540,79,,,,
David Kuipers,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3541,80,,,,
Jules Remy,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3543,81,,,,
Kyllian Lemarchand,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3545,82,,,,
Jan Hercog,AUT,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,3570,83,,,,
Victor Varoqui,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,80,84,,,,
Johan Boscher,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,80.8,85,,,,
Amadou Ndiaye,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,83,86,,,,
Alexandre Mouilley,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,129.7,87,,,,
Patrick Hussey,CAN,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,131.3,88,,,,
Anthony Mercury,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,133,89,,,,
Merlin Boursier,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,141,90,,,,
Michael Denham,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,165,91,,,,
Victor Coisnon,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,200,92,,,,
Aurélien Latapy,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,242.1,93,,,,
Pablo Subero,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,260,94,,,,
Paul Lesprit,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,290,95,,,,
Clément Habasque,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,326,96,,,,
Jeremy Branger,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,345,97,,,,
Edouard Visbecq,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,665.6,98,,,,
Laurent Guillard,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,1234,99,,,,
Adrien Pezeron,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,1243.2,100,,,,
Thomas Renaud,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,1604.2,101,,,,
Sébastien Chedru,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5,No Current,Neutral,108,1387.6,102,,,,
end,,,2018_05_31_LEN_Gravelines_5km,,,,,,,0,,,,
Kristof Rasovszky,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6630.050016,1,,,,
Marc-Antoine Olivier,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6651.02016,2,,,,
Axel Reymond,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6666.009696,3,,,,
Pasquale Sanzullo,ITA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6667.019712,4,,,,
Logan Fontaine,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6671.045088,5,,,,
Mark Papp,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6673.015008,6,,,,
Logan Vanhuys,BEL,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6673.06512,7,,,,
Tobias Patrick Robinson,GBR,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6674.999616,8,,,,
Guillem Pujol,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6675.045408,9,,,,
Pol Gil,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6678.000288,10,,,,
Alessio Occhipinti,ITA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6678.999936,11,,,,
Raul Santiago Betancor,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6679.030176,12,,,,
Dario Verani,ITA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6679.044864,13,,,,
Matej Kozubek,CZE,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6679.055232,14,,,,
Marcello Guidi,ITA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6679.06992,15,,,,
Alexander Studzinski,GER,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6681.00528,16,,,,
Alberto Martinez,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6682.049856,17,,,,
Samuel Pizzetti,ITA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6683.045184,18,,,,
Zoltán Drigan,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6685.000416,19,,,,
Zoltán Márk Tabi,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6686.095104,20,,,,
Enzo Roldan Munoz,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6693.054624,21,,,,
Gaspar Andrade Budino,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6700.070304,22,,,,
Tamas Farkas,SRB,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6709.040352,23,,,,
Clement Batte,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6717.065184,24,,,,
Fares Zitouni,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6726.01968,25,,,,
Rafael Gil,POR,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6759.004608,26,,,,
Sebastien Dureux,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6847.054848,27,,,,
Jose Paula Carvalho,POR,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6849.060192,28,,,,
Hector Thomas Cheal Pardoe,GBR,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6850.065024,29,,,,
Aubin Coccordano,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6851.094912,30,,,,
Vit Ingeduld,CZE,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6855.020064,31,,,,
Milan Fabian,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6858.005184,32,,,,
Arnau Honrubia Cerda,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6859.090368,33,,,,
Peter Galicz,HUN,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6913.010016,34,,,,
Jules Wallart,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6951.095136,35,,,,
Jean-Baptiste Clusman,FRA,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6958.095264,36,,,,
Pablo Benitez Dominguez,ESP,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,6965.054784,37,,,,
Caleb Hughes,GBR,06/30/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,48,7003.050048,38,,,,
Lars Bottelier,NED,07/01/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,49,7014.000384,39,,,,
Vojislav Sterba,CZE,07/02/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,50,7153.024896,40,,,,
David Sebesta,CZE,07/03/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,51,7153.039584,41,,,,
Maxence Dessoit,FRA,07/04/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,52,7155,42,,,,
Jorgos Skotadis,NED,07/05/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,53,7303.019616,43,,,,
Patrick Hussey,CAN,07/06/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,54,7397.000352,44,,,,
Eric Georges Brown,CAN,07/07/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,55,7435.060416,45,,,,
Enzo Teule,FRA,07/08/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,56,7442.05536,46,,,,
Andrew Edwards,CAN,07/09/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,57,7454.039904,47,,,,
Martin Dimitrov,CAN,07/10/2018,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,58,7463.029824,48,,,,
end,,,2018_07_10_LEN_Barcelona_10km,,,,,,,0,,,,
Pasquale Sanzullo,ITA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6282.002304,1,,,,
Dario Verani,ITA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6286.006944,2,,,,
Marcello Guidi,ITA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6287.004864,3,,,,
Logan Vanhuys,BEL,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6332.003712,4,,,,
Niklas Frach,GER,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6341.009184,5,,,,
Fares Zitouni,FRA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6344.000352,6,,,,
Andrea Bianchi,ITA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6347.007936,7,,,,
Baptiste Colmant,FRA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6349.00464,8,,,,
Pablo Le Corre,FRA,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6352.000992,9,,,,
Mark Papp,HUN,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6371.000352,10,,,,
David Huszti,HUN,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6399.00432,11,,,,
Roger Coma,ESP,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6466.008384,12,,,,
Milan Fabian,HUN,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6573.007872,13,,,,
Gaspar Andrade Budino,ESP,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6576.000768,14,,,,
Eric Villaregut De Mingo,ESP,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6580.007136,15,,,,
Mathieu Mattelaer,BEL,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6582.002976,16,,,,
Marcos Godoy,ESP,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6591.00672,17,,,,
Arnau Honrubia Cerda,ESP,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,6593.006016,18,,,,
Tomas Peciar,SLO,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,7496.002656,19,,,,
Kyriakos Mavrakis,GRE,07/28/2018,LEN Cup,"Navia, ESP",10,No Current,Neutral,24,7503.003648,20,,,,
end,,,2018_07_28_LEN_Navia_10km,,,,,,,0,,,,
Kristof Rasovszky,HUN,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4062.96,1,,,,
Roman Kozhevnikov,RUS,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4063.9968,2,,,,
Pasquale Sanzullo,ITA,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4065.0336,3,,,,
Marcello Guidi,ITA,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4067.0208,4,,,,
Aleksandr Astapov,RUS,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4076.0064,5,,,,
Alessio Occhipinti,ITA,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4077.0432,6,,,,
Niklas Frach,GER,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4095.9648,7,,,,
Ilia Okorokov,RUS,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4100.0256,8,,,,
Vladislav Utrobin,RUS,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4107.024,9,,,,
Idan Mordel,ISR,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4117.9968,10,,,,
Szilard Galyassy,HUN,08/25/2018,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,19,4117.9968,11,,,,
